iter	Passed	Remaining
0	143	143007
1	144	71908
2	144	48186
3	145	36317
4	147	29298
5	148	24541
6	149	21144
7	149	18593
8	150	16604
9	151	15011
10	152	13710
11	153	12626
12	154	11706
13	155	10931
14	156	10249
15	156	9651
16	157	9123
17	158	8652
18	159	8230
19	160	7850
20	161	7505
21	161	7193
22	162	6908
23	163	6654
24	164	6429
25	165	6208
26	190	6852
27	191	6630
28	191	6423
29	192	6229
30	193	6048
31	194	5878
32	195	5720
33	196	5578
34	197	5441
35	198	5307
36	199	5181
37	199	5061
38	200	4947
39	201	4838
40	202	4735
41	203	4636
42	203	4538
43	204	4448
44	205	4360
45	206	4273
46	206	4195
47	207	4123
48	208	4047
49	209	3973
50	209	3903
51	210	3834
52	211	3771
53	211	3708
54	212	3647
55	228	3844
56	229	3789
57	230	3740
58	230	3681
59	231	3623
60	231	3568
61	232	3515
62	232	3462
63	233	3412
64	233	3363
65	234	3315
66	234	3269
67	235	3224
68	235	3180
69	236	3137
70	236	3096
71	237	3056
72	237	3019
73	238	2984
74	239	2949
75	239	2913
76	240	2878
77	240	2844
78	241	2810
79	241	2778
80	242	2746
81	242	2715
82	242	2682
83	243	2652
84	243	2623
85	244	2595
86	244	2568
87	245	2541
88	245	2514
89	246	2488
90	246	2463
91	247	2439
92	247	2415
93	248	2391
94	248	2368
95	249	2345
96	249	2322
97	249	2300
98	250	2279
99	250	2258
100	251	2237
101	251	2217
102	252	2198
103	253	2179
104	253	2163
105	254	2145
106	254	2126
107	255	2108
108	255	2090
109	256	2072
110	256	2055
111	257	2038
112	257	2022
113	258	2006
114	258	1990
115	259	1974
116	259	1957
117	259	1942
118	260	1927
119	260	1912
120	261	1897
121	261	1882
122	262	1868
123	262	1855
124	263	1841
125	263	1828
126	263	1814
127	264	1801
128	264	1789
129	265	1776
130	266	1764
131	266	1753
132	267	1742
133	268	1733
134	268	1722
135	269	1712
136	270	1701
137	270	1690
138	271	1680
139	271	1669
140	272	1659
141	272	1648
142	273	1638
143	274	1629
144	274	1620
145	275	1612
146	276	1603
147	276	1594
148	277	1584
149	277	1574
150	278	1565
151	278	1555
152	279	1546
153	279	1537
154	280	1527
155	280	1518
156	281	1509
157	281	1500
158	282	1492
159	282	1483
160	282	1474
161	283	1468
162	284	1461
163	285	1453
164	285	1445
165	286	1437
166	286	1428
167	286	1421
168	287	1413
169	287	1405
170	288	1398
171	288	1390
172	289	1383
173	289	1376
174	290	1369
